"Comment","Designator","Footprint","LCSC Part #"
"BATTERY_CR2032","BT1","Battery:BatteryHolder_Keystone_1060_1x2032","C70377"
"100n","C1","hellen-one-common:C0603","C14663"
"10u","C2","Capacitor_SMD:C_0805_2012Metric","C15850"
"100n","C3","hellen-one-common:C0603","C14663"
"10u","C4","hellen-one-common:C0603","C19702"
"100n","C5","hellen-one-common:C0603","C14663"
"10u","C6","Capacitor_SMD:C_0805_2012Metric","C15850"
"10n","C7","hellen-one-common:C0603","C100042"
"10u","C8","Capacitor_SMD:C_0805_2012Metric","C15850"
"5.6n","C9","hellen-one-common:C0603","C170143"
"10u","C10","Capacitor_SMD:C_0805_2012Metric","C15850"
"220n","C11","hellen-one-common:C0603","C21120"
"10u","C12","Capacitor_SMD:C_0805_2012Metric","C15850"
"10u","C13","Capacitor_SMD:C_0805_2012Metric","C15850"
"100n","C14","hellen-one-common:C0603","C14663"
"5.6n","C15","hellen-one-common:C0603","C170143"
"10u","C16","Capacitor_SMD:C_0805_2012Metric","C15850"
"100n","C17","hellen-one-common:C0603","C14663"
"10u","C18","Capacitor_SMD:C_0805_2012Metric","C15850"
"100n","C19","hellen-one-common:C0603","C14663"
"LED-GREEN-0805","D1","hellen-one-common:LED-0805","C2297"
"LED-GREEN-0805","D2","hellen-one-common:LED-0805","C2297"
"LED-BLUE-0603","D3","hellen-one-common:LED-0603","C72041"
"B5819W","D4","Diode_SMD:D_SOD-123","C8598"
"1N4148WS","D5","hellen-one-common:SOD-323","C2128"
"LED-RED-0603","D6","hellen-one-common:LED-0603","C2286"
"LED-RED-0603","D7","hellen-one-common:LED-0603","C2286"
"LED-RED-0603","D8","hellen-one-common:LED-0603","C2286"
"LED-RED-0603","D9","hellen-one-common:LED-0603","C2286"
"LED-GREEN-0805","D10","hellen-one-common:LED-0805","C2297"
"LED-GREEN-0805","D11","hellen-one-common:LED-0805","C2297"
"1N4148WS","D12","hellen-one-common:SOD-323","C2128"
"1N4148WS","D13","hellen-one-common:SOD-323","C2128"
"1N4148WS","D14","hellen-one-common:SOD-323","C2128"
"1N4148WS","D15","hellen-one-common:SOD-323","C2128"
"LED-WHITE-0603","D16","hellen-one-common:LED-0603","C2290"
"LED-WHITE-0603","D17","hellen-one-common:LED-0603","C2290"
"LED-WHITE-0603","D18","hellen-one-common:LED-0603","C2290"
"LED-WHITE-0603","D19","hellen-one-common:LED-0603","C2290"
"1N4148WS","D20","hellen-one-common:SOD-323","C2128"
