Designator,Mid X,Mid Y,Layer,Rotation
BT1,63.367187mm,45.0mm,Top,270.0
C4,98.017325mm,81.436267mm,Top,90.0
C5,105.8mm,85.2mm,Top,0.0
C7,42.75mm,102.63mm,Top,270.0
C8,40.55mm,102.48mm,Top,270.0
C9,96.7mm,112.05mm,Top,90.0
C10,94.7mm,112.209999mm,Top,90.0
D1,144.95mm,65.3mm,Top,180.0
D2,144.95mm,57.3mm,Top,180.0
D3,49.5mm,80.4mm,Top,90.0
D4,27.8mm,128.7mm,Top,90.0
D5,56.2mm,80.400001mm,Top,90.0
D6,27.418986mm,84.4mm,Top,90.0
D7,29.418986mm,84.4mm,Top,90.0
D8,31.418986mm,84.4mm,Top,90.0
D9,33.418986mm,84.4mm,Top,90.0
D10,56.2mm,84.4mm,Top,90.0
D11,144.95mm,73.3mm,Top,180.0
D12,27.418986mm,80.4mm,Top,90.0
D13,29.418986mm,80.4mm,Top,90.0
D14,31.418986mm,80.4mm,Top,90.0
D15,33.418986mm,80.4mm,Top,90.0
D16,41.4mm,84.4mm,Top,90.0
D17,43.4mm,84.4mm,Top,90.0
D18,45.4mm,84.4mm,Top,90.0
D19,47.4mm,84.4mm,Top,90.0
D20,41.4mm,80.4mm,Top,90.0
D21,43.4mm,80.4mm,Top,90.0
D22,45.4mm,80.4mm,Top,90.0
D23,47.4mm,80.4mm,Top,90.0
D24,64.6mm,32.0mm,Top,180.0
D25,23.1mm,128.7mm,Top,90.0
D26,51.437265mm,80.4mm,Top,90.0
D27,53.362501mm,80.400001mm,Top,90.0
D28,49.4mm,84.4mm,Top,90.0
D29,51.381014mm,84.4mm,Top,90.0
D30,53.349998mm,84.400001mm,Top,90.0
D31,25.45mm,128.7mm,Top,90.0
D32,33.0mm,113.0mm,Top,270.0
D33,35.4mm,80.4mm,Top,90.0
D34,37.4mm,80.4mm,Top,90.0
D35,39.4mm,80.4mm,Top,90.0
D36,35.4mm,84.4mm,Top,90.0
D37,37.4mm,84.4mm,Top,90.0
D38,39.4mm,84.4mm,Top,90.0
D42,49.475mm,108.075mm,Top,0.0
D43,64.475mm,108.075mm,Top,0.0
D45,56.975mm,108.075mm,Top,0.0
F1,84.3mm,121.05mm,Top,270.0
F2,82.0mm,121.05mm,Top,270.0
F3,135.8mm,88.2mm,Top,270.0
F4,135.8mm,100.2mm,Top,270.0
F5,135.8mm,112.2mm,Top,270.0
F6,135.8mm,124.2mm,Top,270.0
G1,124.0mm,16.5mm,Top,0.0
G2,157.5mm,20.0mm,Top,0.0
G3,144.7mm,14.1mm,Top,0.0
G4,146.306545mm,24.944788mm,Top,90.0
G5,146.306545mm,37.644788mm,Top,90.0
G6,136.212813mm,24.944788mm,Top,90.0
G7,141.206545mm,24.944788mm,Top,90.0
G8,151.406545mm,37.644788mm,Top,90.0
G9,151.406545mm,24.944788mm,Top,90.0
G10,141.206545mm,37.644788mm,Top,90.0
J1,49.3mm,21.8mm,Top,270.0
J2,72.2mm,104.4mm,Top,0.0
J25,103.9mm,73.2mm,Top,270.0
J39,99.275mm,17.082843mm,Top,270.0
J40,37.337501mm,20.58416mm,Top,270.0
P1,17.9125mm,131.0mm,Top,0.0
P2,74.4mm,119.1mm,Top,180.0
P3,74.4mm,114.8mm,Top,180.0
P4,54.0mm,119.1mm,Top,180.0
P5,51.5mm,116.1mm,Top,180.0
P6,30.5mm,119.1mm,Top,180.0
P7,56.5mm,116.1mm,Top,180.0
P8,54.0mm,123.5mm,Top,180.0
P9,38.5mm,119.0mm,Top,180.0
P10,27.6mm,119.1mm,Top,180.0
P11,64.0mm,116.1mm,Top,180.0
P12,41.5mm,119.0mm,Top,180.0
P13,35.5mm,119.0mm,Top,180.0
P14,79.4mm,123.505mm,Top,180.0
P15,74.4mm,123.5mm,Top,180.0
P16,71.5mm,123.5mm,Top,180.0
P18,41.5mm,123.5mm,Top,180.0
P19,38.5mm,123.5mm,Top,180.0
P20,35.5mm,123.5mm,Top,180.0
P21,30.5mm,123.5mm,Top,180.0
P22,27.5mm,123.5mm,Top,180.0
P23,125.5mm,119.5mm,Top,180.0
P24,119.5mm,119.5mm,Top,180.0
P25,116.5mm,124.0mm,Top,180.0
P26,119.5mm,124.0mm,Top,180.0
P27,113.5mm,119.5mm,Top,180.0
P28,110.5mm,119.5mm,Top,180.0
P29,110.5mm,124.0mm,Top,180.0
P30,107.5mm,119.5mm,Top,180.0
P31,104.6mm,119.5mm,Top,180.0
P32,131.5mm,119.5mm,Top,180.0
P33,128.5mm,119.5mm,Top,180.0
P34,122.5mm,119.5mm,Top,180.0
P35,116.5mm,119.5mm,Top,180.0
P36,107.5mm,124.0mm,Top,180.0
P37,104.5mm,128.5mm,Top,180.0
P38,101.6mm,118.4mm,Top,180.0
P39,104.7mm,115.1mm,Top,180.0
P40,131.5mm,124.0mm,Top,180.0
P41,128.5mm,124.0mm,Top,180.0
P42,125.5mm,124.0mm,Top,180.0
P43,122.5mm,124.0mm,Top,180.0
P44,119.5mm,128.5mm,Top,180.0
P45,116.5mm,128.5mm,Top,180.0
P46,113.5mm,124.0mm,Top,180.0
P47,107.5mm,128.5mm,Top,180.0
P48,104.5mm,124.0mm,Top,180.0
P49,95.7mm,124.0mm,Top,180.0
P50,131.5mm,128.5mm,Top,180.0
P51,128.5mm,128.5mm,Top,180.0
P52,125.5mm,128.5mm,Top,180.0
P53,122.5mm,128.5mm,Top,180.0
P54,113.5mm,128.5mm,Top,180.0
P55,110.5mm,128.5mm,Top,180.0
P56,103.8mm,15.8mm,Top,180.0
P57,106.799999mm,15.8mm,Top,180.0
P58,109.799998mm,15.8mm,Top,180.0
P59,112.799999mm,15.8mm,Top,180.0
P60,60.4mm,64.285256mm,Top,270.0
P61,39.985712mm,71.7mm,Top,180.0
P62,27.7mm,71.7mm,Top,180.0
P63,30.771428mm,71.7mm,Top,180.0
P64,33.842856mm,71.7mm,Top,180.0
P65,36.914284mm,71.7mm,Top,180.0
P66,43.05714mm,71.7mm,Top,180.0
P67,65.1mm,65.814748mm,Top,270.0
P68,60.4mm,67.34424mm,Top,270.0
P69,60.4mm,61.226272mm,Top,270.0
P70,49.2mm,71.7mm,Top,180.0
P71,65.1mm,62.755764mm,Top,270.0
P72,46.128568mm,71.7mm,Top,180.0
P73,65.132813mm,68.873732mm,Top,270.0
P85,63.5mm,28.9mm,Top,0.0
P86,57.450003mm,13.325003mm,Top,90.0
P87,60.350003mm,13.325003mm,Top,270.0
Q1,147.4mm,88.2mm,Top,0.0
Q2,147.4mm,100.2mm,Top,0.0
Q3,147.4mm,112.2mm,Top,0.0
Q4,147.4mm,124.2mm,Top,0.0
Q5,49.475mm,99.775mm,Top,270.0
Q6,56.975mm,99.775mm,Top,270.0
Q10,64.475mm,99.775mm,Top,270.0
R1,83.472472mm,81.726268mm,Top,270.0
R2,58.1mm,80.7mm,Top,270.0
R3,88.7mm,121.595mm,Top,90.0
R4,86.5mm,121.595mm,Top,90.0
R5,144.899979mm,71.2mm,Top,180.0
R6,30.418986mm,76.4mm,Top,0.0
R7,44.4mm,76.4mm,Top,0.0
R8,79.4mm,117.7mm,Top,90.0
R9,66.5mm,121.6mm,Top,90.0
R10,83.5mm,79.2mm,Top,0.0
R11,83.5mm,76.7mm,Top,0.0
R12,38.5mm,113.2mm,Top,90.0
R13,144.999979mm,63.4mm,Top,180.0
R14,83.5mm,74.2mm,Top,0.0
R15,83.5mm,71.7mm,Top,0.0
R16,51.581014mm,76.5mm,Top,180.0
R17,41.5mm,113.2mm,Top,90.0
R18,83.5mm,69.2mm,Top,0.0
R19,80.472472mm,81.726268mm,Top,0.0
R20,80.5mm,79.2mm,Top,0.0
R21,80.5mm,76.7mm,Top,0.0
R22,76.9mm,114.7mm,Top,90.0
R23,80.5mm,74.2mm,Top,0.0
R24,80.5mm,71.7mm,Top,0.0
R25,80.5mm,69.2mm,Top,0.0
R27,61.5mm,121.6mm,Top,90.0
R28,54.0mm,114.7mm,Top,90.0
R29,44.0mm,114.7mm,Top,90.0
R30,35.5mm,113.2mm,Top,90.0
R32,76.9mm,121.6mm,Top,90.0
R33,31.75mm,95.38mm,Top,0.0
R34,71.4mm,117.7mm,Top,90.0
R35,59.0mm,121.6mm,Top,90.0
R36,56.5mm,121.6mm,Top,90.0
R37,79.625mm,110.5mm,Top,270.0
R38,51.5mm,121.6mm,Top,90.0
R39,49.0mm,114.7mm,Top,90.0
R40,46.5mm,114.7mm,Top,90.0
R43,47.975mm,93.0mm,Top,180.0
R44,55.4mm,93.0mm,Top,180.0
R45,63.3mm,93.0mm,Top,180.0
R46,69.0mm,121.6mm,Top,90.0
R47,64.0mm,121.6mm,Top,90.0
R50,144.899979mm,55.3mm,Top,180.0
R51,49.0mm,121.6mm,Top,90.0
R52,46.5mm,121.6mm,Top,90.0
R53,44.0mm,121.6mm,Top,90.0
R54,33.0mm,121.595mm,Top,90.0
R55,95.7mm,118.0mm,Top,90.0
R56,98.5mm,126.5mm,Top,90.0
R57,90.9mm,121.595mm,Top,90.0
R58,101.5mm,126.5mm,Top,90.0
R59,98.5mm,118.0mm,Top,90.0
R60,93.1mm,121.595mm,Top,90.0
R61,154.3mm,84.6mm,Top,270.0
R62,154.3mm,96.2mm,Top,270.0
R63,154.3mm,108.2mm,Top,270.0
R64,154.3mm,120.2mm,Top,270.0
R65,146.7mm,82.2mm,Top,180.0
R66,148.3mm,94.2mm,Top,180.0
R67,148.3mm,106.2mm,Top,180.0
R68,148.3mm,118.2mm,Top,180.0
R76,37.625mm,76.4mm,Top,0.0
U3,104.167187mm,81.726268mm,Top,270.0
U6,32.775mm,101.2mm,Top,90.0
U7,87.625mm,112.5mm,Top,90.0
C226,84.492188mm,63.401268mm,Top,90.0
R211,86.792188mm,63.326268mm,Top,180.0
R205,86.917188mm,59.801268mm,Top,180.0
D205,86.64218799999999mm,56.826268mm,Top,90.0
C223,84.467188mm,52.876268mm,Top,90.0
C222,85.56718799999999mm,52.876268mm,Top,90.0
C221,86.667188mm,52.876268mm,Top,90.0
C220,87.76718799999999mm,52.876268mm,Top,90.0
C228,111.217188mm,64.751268mm,Top,0.0
R216,89.117188mm,63.251268mm,Top,270.0
C224,84.492188mm,60.001268mm,Top,270.0
D206,112.39218799999999mm,54.526268mm,Top,90.0
C225,113.092188mm,60.876268mm,Top,0.0
C219,102.06718799999999mm,52.876268mm,Top,90.0
C218,103.167188mm,52.876268mm,Top,90.0
C217,104.26718799999999mm,52.876268mm,Top,90.0
C216,105.367188mm,52.876268mm,Top,90.0
C215,106.467188mm,52.876268mm,Top,90.0
C214,107.56718799999999mm,52.876268mm,Top,90.0
C213,108.667188mm,52.876268mm,Top,90.0
C212,109.76718799999999mm,52.876268mm,Top,90.0
C211,97.667188mm,52.876268mm,Top,90.0
C210,98.76718799999999mm,52.876268mm,Top,90.0
C209,99.867188mm,52.876268mm,Top,90.0
C208,100.967188mm,52.876268mm,Top,90.0
C203,88.867188mm,52.876268mm,Top,90.0
C202,89.967188mm,52.876268mm,Top,90.0
C201,91.06718799999999mm,52.876268mm,Top,90.0
C229,110.742188mm,59.301268mm,Top,270.0
C227,109.94218799999999mm,62.401268mm,Top,90.0
R215,112.89218799999999mm,58.576268mm,Top,180.0
R213,112.89218799999999mm,59.751268mm,Top,0.0
R214,113.14218799999999mm,63.176268mm,Top,180.0
R212,113.14218799999999mm,62.026268mm,Top,180.0
C200,92.167188mm,52.876268mm,Top,90.0
