Designator,Mid X,Mid Y,Layer,Rotation
D4,59.595mm,61.325mm,Bottom,90.0
D25,62.095mm,61.325mm,Bottom,90.0
D31,65.595mm,61.325mm,Bottom,90.0
D32,68.095mm,61.325mm,Bottom,90.0
D39,41.59mm,61.325mm,Bottom,90.0
D40,44.09mm,61.325mm,Bottom,90.0
D41,35.59mm,61.325mm,Bottom,90.0
D44,38.09mm,61.325mm,Bottom,90.0
R26,29.59mm,57.175mm,Bottom,270.0
R31,32.59mm,57.175mm,Bottom,270.0
R33,53.595mm,57.175mm,Bottom,270.0
R37,56.595mm,57.175mm,Bottom,270.0
R41,41.59mm,57.175mm,Bottom,270.0
R42,44.59mm,57.175mm,Bottom,270.0
R48,35.59mm,57.175mm,Bottom,270.0
R49,38.59mm,57.175mm,Bottom,270.0
R69,34.09mm,57.175mm,Bottom,270.0
R70,58.095mm,57.175mm,Bottom,270.0
R71,31.09mm,57.175mm,Bottom,270.0
R72,55.095mm,57.175mm,Bottom,270.0
R73,46.09mm,57.175mm,Bottom,270.0
R74,40.09mm,57.175mm,Bottom,270.0
R75,43.09mm,57.175mm,Bottom,270.0
R77,37.09mm,57.175mm,Bottom,270.0
R78,47.595mm,57.175mm,Bottom,270.0
R79,50.595mm,57.175mm,Bottom,270.0
R80,52.095mm,57.175mm,Bottom,270.0
R81,49.095mm,57.175mm,Bottom,270.0
R86,59.595mm,57.175mm,Bottom,270.0
R87,62.595mm,57.175mm,Bottom,270.0
R88,65.595mm,57.175mm,Bottom,270.0
R89,68.595mm,57.175mm,Bottom,270.0
R90,64.095mm,57.175mm,Bottom,270.0
R91,70.095mm,57.175mm,Bottom,270.0
R92,61.095mm,57.175mm,Bottom,270.0
R93,67.095mm,57.175mm,Bottom,270.0
BT1,37.6mm,47.1mm,Top,180.0
D3,53.549998mm,73.900001mm,Top,90.0
D6,31.468984mm,77.900001mm,Top,90.0
D7,33.468984mm,77.900001mm,Top,90.0
D8,35.468984mm,77.900001mm,Top,90.0
D9,37.468984mm,77.900001mm,Top,90.0
D16,45.449998mm,77.900001mm,Top,90.0
D17,47.449998mm,77.900001mm,Top,90.0
D18,51.449998mm,77.900001mm,Top,90.0
D19,49.449998mm,77.900001mm,Top,90.0
D20,45.449998mm,73.900001mm,Top,90.0
D21,47.449998mm,73.900001mm,Top,90.0
D22,51.5mm,73.900001mm,Top,90.0
D23,49.449998mm,73.900001mm,Top,90.0
D24,51.1mm,48.2mm,Top,180.0
D26,55.487263mm,73.900001mm,Top,90.0
D27,57.412499mm,73.900002mm,Top,90.0
D28,53.449998mm,77.900001mm,Top,90.0
D29,55.431012mm,77.900001mm,Top,90.0
D30,57.399996mm,77.900002mm,Top,90.0
D33,39.449998mm,73.900001mm,Top,90.0
D34,41.449998mm,73.900001mm,Top,90.0
D35,43.449998mm,73.900001mm,Top,90.0
D36,39.449998mm,77.900001mm,Top,90.0
D37,41.449998mm,77.900001mm,Top,90.0
D38,43.449998mm,77.900001mm,Top,90.0
F1,84.3mm,121.05mm,Top,270.0
F2,82.0mm,121.05mm,Top,270.0
G1,130.8mm,17.2mm,Top,0.0
G2,152.4mm,104.5mm,Top,90.0
G3,147.40535mm,14.407713mm,Top,0.0
G4,146.306545mm,24.944788mm,Top,90.0
G5,146.306545mm,37.644788mm,Top,90.0
G6,136.212813mm,24.944788mm,Top,90.0
G7,141.206545mm,24.944788mm,Top,90.0
G8,151.406545mm,37.644788mm,Top,90.0
G9,151.406545mm,24.944788mm,Top,90.0
G10,141.206545mm,37.644788mm,Top,90.0
J1,49.3mm,21.8mm,Top,270.0
J2,63.7mm,82.25mm,Top,0.0
J3,99.275mm,17.082843mm,Top,270.0
J4,57.3mm,27.6mm,Top,90.0
J40,37.337501mm,20.58416mm,Top,270.0
P1,17.9125mm,131.0mm,Top,0.0
P2,74.4mm,119.1mm,Top,180.0
P3,82.0mm,116.2mm,Top,180.0
P4,54.0mm,119.1mm,Top,180.0
P5,51.5mm,116.1mm,Top,180.0
P6,30.5mm,119.1mm,Top,180.0
P7,56.5mm,116.1mm,Top,180.0
P8,54.0mm,123.5mm,Top,180.0
P9,38.5mm,119.0mm,Top,180.0
P10,27.6mm,119.1mm,Top,180.0
P11,64.0mm,116.1mm,Top,180.0
P12,41.5mm,119.0mm,Top,180.0
P13,35.5mm,119.0mm,Top,180.0
P14,79.4mm,123.505mm,Top,180.0
P15,74.4mm,123.5mm,Top,180.0
P16,71.5mm,123.5mm,Top,180.0
P18,41.5mm,123.5mm,Top,180.0
P19,38.5mm,123.5mm,Top,180.0
P20,35.5mm,123.5mm,Top,180.0
P21,30.5mm,123.5mm,Top,180.0
