Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"100n","C1, C3, C5, C14, C17, C19, C204, C205, C206, C207, C212, C213, C214, C215, C220, C221, C222, C223, C224, C225, C226, C460, C461, C101, C105, C106, C107, C108, C109, C110, C111, C112, C113, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C135, C139, C480, C481, C482, C470, C411, C413, C420, C430, C431","C0603","C14663"
"10u","C2, C6, C8, C10, C12, C13, C16, C18, C300, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313, C425, C426","C0805","C15850"
"10u","C4","C0603","C19702"
"10n","C7","C0603","C100042"
"5.6n","C9, C15","C0603","C170143"
"220n","C11","C0603","C21120"
"LED-GREEN-0805","D1, D2, D10, D11","LED-0805","C2297"
"LED-BLUE-0603","D3, D28, D29, D30, D105","LED-0603","C72041"
"B5819W","D4, D25, D31, D32, D101, D107, D300, D301, D302, D303, D480, D416, D417","SOD-123","C8598"
"1N4148WS","D5, D12, D13, D14, D15, D20, D21, D22, D23, D24, D33, D34, D35, D40, D41, D410, D412, D413, D414","SOD-323","C2128"
"LED-RED-0603","D6, D7, D8, D9, D103","LED-0603","C2286"
"LED-WHITE-0603","D16, D17, D18, D19, D26, D27, D36, D37, D38, D39","LED-0603","C2290"
"Fuse-Pad-Pad","F1, F2","PAD-1206-PAD","C182446"
"Fuse-16A","F3, F4, F5, F6","36911600000","C354908"
"LOGO","G1","LOGO",""
"DISCLAIMER","G2","Off_Road_Disclaimer",""
"LOGO","G3","LOGO",""
"PROTO_AREA_2","G4","PROTO_AREA_2",""
"PROTO_AREA_2","G5","PROTO_AREA_2",""
"PROTO_AREA_2","G6","PROTO_AREA_2",""
"PROTO_AREA_2","G7","PROTO_AREA_2",""
"PROTO_AREA_2","G8","PROTO_AREA_2",""
"PROTO_AREA_2","G9","PROTO_AREA_2",""
"PROTO_AREA_2","G10","PROTO_AREA_2",""
"Conn_01x06","J3","PinHeader_1x06_P2.54mm_Vertical",""
"Conn_01x01","J19","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J20","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J21","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J22","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J24","TestPoint_Pad_D2.0mm",""
"AudioJack3_SwitchTR","J25","Jack_3.5mm_PJ-3250-5A","C165947"
"Conn_01x08","J39","PinHeader_2x04_P2.54mm_Vertical",""
"USB_B","J40","USB_B_OST_USB-B1HSxx_Horizontal","C46392"
"284617-1","P1","284617-1",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
